ID, Fname, Lname, Email, Gender, Salary, HasChildren
80-6049749,Lester,Duquesnay,lduquesnayO0cbsnews.com,Kale,$5801.08,false
73-1658380,Wilfrid,Abrey,wabreyl0bigcartel.com,Male,$5772.46,false
98-0163066,Nissa,Basindale,nbasindale20barnesandnoble.com,Female,$7217.25,true
32-8439396,Kalie,Whoston,kwhoston30narod.ru,Female,$2025.58,true
59-0242887,Felike,Cosby,fcosby40phpbb.com,Male,$8100.36,true
47-7006119,Lilah,Sayse,lsayse50bing.com,Female,$1038.40,true
51-1296900,Saleem,Egarr,segarr60google.it,Male,$6881.53,true
42-4232007,Doti,Eldred,deldred7036O.cn,Female,$4030.90,true
48-9167109,Kaila,Straffon,kstraffon80sun.com,Female,$9697.10,true
85-7369459,Ethelin,Wyson,ewyson90upenn.edu,Female,$2294.24,true
